序号,品牌,行业,调性,备注
1,花西子,美妆,国风彩妆、东方美学,⭐用户指定
2,完美日记,美妆,新锐彩妆、年轻潮流,
3,橘朵,美妆,平价彩妆、少女甜酷,
4,彩棠,美妆,专业彩妆、中式骨相,
5,毛戈平,美妆,高端彩妆、大师光影,
6,玛丽黛佳,美妆,新艺术彩妆、先锋国货,🆕新增
7,雅诗兰黛,护肤,高端护肤、科技抗老,⭐用户指定
8,珀莱雅,护肤,功效护肤、早C晚A,
9,薇诺娜,护肤,敏感肌护肤、医学背景,
10,瑷尔博士,护肤,微生态护肤、科学修护,
11,可复美,护肤,医美护肤、胶原蛋白,
12,雏菊的天空,护肤,植物芳疗护肤、自然纯净,🆕新增
13,优衣库,时尚,基础穿搭、日系极简,
14,ZARA,时尚,快时尚、欧美潮流,
15,蕉内,时尚,内衣家居、科技面料,
16,太平鸟,时尚,国潮时尚、年轻通勤,
17,MLBK,时尚,运动时尚、街头潮流,
18,蔻驰,包具,轻奢包袋、美式经典,
19,小CK,包具,快时尚包袋、平价精致,
20,古良吉吉,包具,原创设计、复古文艺,
21,崧SONG,包具,原创包袋、东方极简,
22,Songmont山下有松,包具,原创设计师包袋、东方极简美学,⭐用户指定
23,LV,奢侈品,顶级奢侈、旅行精神,
24,香奈儿,奢侈品,顶级奢侈、法式优雅,
25,迪奥,奢侈品,顶级奢侈、华丽浪漫,
26,古驰,奢侈品,顶级奢侈、复古华丽,
27,喜茶,茶饮,新式茶饮、灵感之茶,⭐用户指定
28,霸王茶姬,茶饮,国风茶饮、原叶鲜奶茶,
29,茉莉奶白,茶饮,花香茶饮、茉莉鲜奶,
30,观夏,香水,东方植物香、东方美学,⭐用户指定
31,闻献,香水,国产高端香氛、禅酷美学,
32,大人糖,个护,女性愉悦、新消费品,⭐用户指定
33,野兽派,生活方式,高端艺术花礼、生活美学,🆕新增
